protein_id,gene_name,description,essentiality,essentiality_source
CAL_FKS1,FKS1,"beta-1,3-glucan synthase catalytic subunit",essential,GRACE (synthetic)
CAL_GWT1,GWT1,GPI inositol acyltransferase,essential,GRACE (synthetic)
CAL_CHS1,CHS1,chitin synthase,unknown,
CAL_ERG6,ERG6,sterol 24-C-methyltransferase,unknown,
CAL_ERG11,ERG11,lanosterol 14-alpha-demethylase,essential,GRACE (synthetic)
CAL_PYRE,PYRE,dihydroorotate dehydrogenase,unknown,
CAL_HSP90,HSP90,molecular chaperone,essential,GRACE (synthetic)
CAL_RPL3,RPL3,60S ribosomal protein L3,essential,GRACE (synthetic)
CAL_TUB2,TUB2,beta-tubulin,essential,GRACE (synthetic)
CAL_ACT1,ACT1,actin,essential,GRACE (synthetic)
